CryoSleep,Age,VIP,Transported,Group,Total_Expense,Num,HomePlanet_Europa,HomePlanet_Mars,Destination_PSO J318.5-22,Destination_TRAPPIST-1e,Deck_B,Deck_C,Deck_D,Deck_E,Deck_F,Deck_G,Deck_T,Side_S
0,39.0,0,0,1,0.0,0,1,0,0,1,1,0,0,0,0,0,0,0
0,24.0,0,1,2,736.0,0,0,0,0,1,0,0,0,0,1,0,0,1
0,58.0,1,0,3,10383.0,0,1,0,0,1,0,0,0,0,0,0,0,1
0,33.0,0,0,3,5176.0,0,1,0,0,1,0,0,0,0,0,0,0,1
0,16.0,0,1,4,1091.0,1,0,0,0,1,0,0,0,0,1,0,0,1
0,44.0,0,1,5,774.0,0,0,0,1,0,0,0,0,0,1,0,0,0
0,26.0,0,1,6,1584.0,2,0,0,0,1,0,0,0,0,1,0,0,1
1,28.0,0,1,6,0.0,0,0,0,0,1,0,0,0,0,0,1,0,1
0,35.0,0,1,7,1018.0,3,0,0,0,1,0,0,0,0,1,0,0,1
1,14.0,0,1,8,0.0,1,1,0,0,0,1,0,0,0,0,0,0,0
1,34.0,0,1,8,0.0,1,1,0,0,1,1,0,0,0,0,0,0,0
0,45.0,0,1,8,8157.0,1,1,0,0,0,1,0,0,0,0,0,0,0
0,32.0,0,1,9,1309.0,1,0,1,0,1,0,0,0,0,1,0,0,0
0,48.0,0,0,10,809.0,1,0,0,0,1,0,0,0,0,0,1,0,1
0,28.0,0,1,11,1003.0,2,0,0,0,1,0,0,0,0,1,0,0,0
0,31.0,0,0,12,908.0,571,0,0,0,1,0,0,0,1,0,0,0,0
0,27.0,0,0,14,1408.0,3,0,1,0,0,0,0,0,0,1,0,0,0
0,24.0,0,0,15,638.0,4,0,0,0,0,0,0,0,0,1,0,0,0
1,45.0,0,1,16,0.0,5,0,1,0,1,0,0,0,0,1,0,0,0
0,0.0,0,1,17,0.0,0,0,0,0,1,0,0,0,0,0,1,0,0
0,14.0,0,0,17,1092.0,6,0,0,0,0,0,0,0,0,1,0,0,0
1,1.0,0,0,20,0.0,0,0,0,0,1,0,0,0,1,0,0,0,1
1,49.0,0,0,20,0.0,0,0,0,0,0,0,0,0,1,0,0,0,1
1,29.0,0,0,20,0.0,0,0,0,0,0,0,0,0,1,0,0,0,1
0,10.0,0,1,20,0.0,0,0,0,0,1,0,0,0,1,0,0,0,1
1,1.0,0,0,20,0.0,0,0,0,1,0,0,0,0,1,0,0,0,1
0,7.0,0,0,20,0.0,0,0,0,0,1,0,0,0,1,0,0,0,1
0,21.0,0,0,22,1051.0,0,0,1,0,1,0,0,1,0,0,0,0,0
1,62.0,0,1,24,0.0,2,1,0,0,1,0,1,0,0,0,0,0,1
0,15.0,0,0,25,1223.0,6,0,0,0,1,0,0,0,0,1,0,0,1
0,34.0,0,0,26,7861.0,0,1,0,0,0,0,1,0,0,0,0,0,0
0,43.0,0,0,28,1309.0,8,0,1,0,1,0,0,0,0,1,0,0,0
0,32.0,0,0,30,1821.0,4,0,0,0,1,0,0,0,0,0,1,0,1
0,47.0,0,1,31,2854.0,9,0,1,0,1,0,0,0,0,1,0,0,0
0,2.0,0,1,31,0.0,9,0,1,0,1,0,0,0,0,1,0,0,0
0,20.0,0,1,31,2745.0,9,0,1,0,1,0,0,0,0,1,0,0,0
1,28.0,0,1,34,0.0,1,1,0,0,0,0,0,1,0,0,0,0,1
0,23.0,0,0,35,2699.0,1,0,1,0,0,0,0,1,0,0,0,0,0
0,15.0,0,0,36,961.0,8,0,0,0,0,0,0,0,0,1,0,0,1
0,20.0,0,0,38,3355.0,10,0,0,0,0,0,0,0,0,1,0,0,1
1,30.0,0,0,39,0.0,1,0,0,0,0,0,0,0,0,0,1,0,0
1,17.0,0,1,41,0.0,2,0,0,0,1,0,0,0,0,0,1,0,0
0,45.0,0,0,43,3575.0,3,1,0,0,1,1,0,0,0,0,0,0,0
